case_id,regime,alpha_deg,Re,thickness,Cl_mean,Cl_std,Cd_mean,Cd_std,L_over_D,y_plus_mean,iterations,runtime_s,validated
case_0012,A,0.4832442640800422,1857098.0116670723,0.1215426960831582,0.061503049835935,0.002994910606087751,0.011187056632795001,5.006231083142343e-05,5.497697191917132,15.902355648,2001,229.009884,True
case_0013,A,2.762329812682756,2924493.9479016084,0.1616599840460341,0.29751546095985,0.0016638233885982055,0.011855136552734999,8.730849531835018e-05,25.09591177093719,15.88920685,2001,260.579824,True
case_0014,A,1.0607544851901438,2266801.711873566,0.127063558350286,0.12819536442545001,0.0015590371566832734,0.010787309182445,4.726206173174774e-05,11.88390563923689,15.909284304,2001,240.145997,True
case_0015,A,6.708413996499505,1636727.7121600353,0.1473008783098167,0.7033096645232001,0.00010861879197367643,0.015894950358864998,2.1473059176219368e-05,44.2473646437623,16.651797531,2001,367.991109,True
case_0016,A,4.828484049437748,2537264.62621822,0.1193253303307632,0.52111664481185,9.64819353467299e-05,0.012240992522385,1.6479519474888906e-05,42.57143723099973,16.152078489,2001,331.867545,True
case_0017,A,7.75026370931052,2682995.6768963607,0.1691608080514174,0.80660669128075,7.9458628657807e-05,0.016260857138614998,3.664061421259221e-05,49.60419271904703,16.395876454,2001,363.289504,True
case_0018,A,0.9514234438413612,1521675.3495082958,0.1155200680211778,0.10196949893244998,0.001265727325753144,0.01161190664041,3.1177889781545755e-05,8.7814604517738,16.021133268,2001,218.898253,True
case_0019,A,7.232539969815927,2147035.7004593383,0.1414271077886262,0.7641346828493499,0.0001282787255873675,0.015419157498825,3.446887188248232e-05,49.557486062878596,16.552319714,2001,383.933034,True
case_0020,A,6.534920957461266,1945729.5894243123,0.1268631034258756,0.6948416574588001,0.0001095144837463946,0.01455807677975,2.1217827923239115e-05,47.72894579216063,16.490325525,2001,316.562215,True
case_0021,A,5.604077514155477,1679857.7731661634,0.1378081203795644,0.5952146504606,0.0001092372679622145,0.014229411827915,2.0535168771103103e-05,41.82988430294208,16.485307597,2001,267.786977,True
case_0022,A,4.411986536733369,2752122.666484831,0.1026011150117432,0.47748939439544996,7.143969758090265e-05,0.011450386120475,1.362769025058698e-05,41.70072427004253,16.002536193,2001,286.098818,True
case_0023,A,5.1489452760277565,2627127.6285232613,0.1512420552715115,0.55269735965125,7.400799858735666e-05,0.01283575753217,3.153632182548211e-05,43.05919290435611,16.235880428,2001,287.507811,True
case_0024,A,1.403438852111522,2441991.785450006,0.1735683086033354,0.1636702608626,0.0019620794612130684,0.01171261366378,7.822046037488845e-05,13.973846108211758,15.823605673,2001,261.482876,True
case_0025,A,5.583530249558924,1556635.9592680463,0.1307607850486169,0.59367393883635,0.00015809134875878651,0.01423733067818,3.44283507548407e-05,41.69840205693959,16.500165537,2001,347.061505,True
case_0026,A,1.8597899978811083,1617960.546378713,0.1572264957751979,0.19854743384350002,0.0034435497087591943,0.012807987195285,0.0001355258819661039,15.501845123376702,16.118170432,2001,234.345652,True
case_0027,A,1.1948885537253335,1880087.7943457605,0.1658971102599525,0.13130585386834998,0.004208492598131718,0.012384110539800002,0.0001129923096121205,10.602768236472032,16.008300167,2001,232.219238,True
case_0028,A,3.0119594245938304,2561079.24268478,0.1041818249672071,0.32662024221514996,0.0002565805182247235,0.010889499706535,1.236293746574985e-05,29.9940539985633,15.871200597,2001,260.80363,True
case_0030,A,1.34401524937396,2303638.6984360563,0.1586909377381024,0.15641969956485002,0.0032599529332594805,0.011523341749305001,9.855702287479711e-05,13.574161295206233,15.938218314,2001,267.680051,True
case_0031,A,5.864517279040945,2273023.7842976614,0.1388036720768991,0.6276884161963,0.0003003712850793734,0.013491454617324998,4.915279759879939e-05,46.52488808658604,16.378957545,2001,350.09185,True
case_0032,A,0.7139493860652042,2314076.45630904,0.1314937955963644,0.08723361165431501,0.004651251863428004,0.01093992663287,9.54508996886147e-05,7.973875381596593,15.842824186,2001,235.553306,True
case_0034,A,1.9195982862419143,2894394.6713073645,0.162529650578356,0.22000822508550003,0.0027558391467678413,0.011070363359055,0.0001002537979344503,19.873622748393743,15.80682637,2001,246.486295,True
case_0035,A,3.524929222914888,2775172.444717812,0.159137520944146,0.3792442129802,8.835883601303233e-05,0.012056302726479999,8.40592281311312e-06,31.456095752078504,16.007989199,2001,285.575994,True
case_0036,A,0.6431945018642117,2012454.3379659872,0.1231987156815341,0.08128725353347999,0.00209409075854711,0.01099856951257,4.668448114278598e-05,7.390711441208672,15.916397679,2001,227.330248,True
case_0037,A,1.2304613769173371,1746038.2169033396,0.1081996737821583,0.13185094442575,0.0030643485956097162,0.011179872182900001,8.819413013540308e-05,11.793600344324199,15.875177583,2001,256.652752,True
case_0038,A,6.034106635105026,2353477.3241576883,0.1362897514529137,0.644440273057,0.00013107693711092327,0.01384534062153,2.5283487605511498e-05,46.54564236974223,16.396439754,2001,400.1476,True
case_0039,A,6.86064290596596,2590769.370543844,0.1522376375439924,0.72821776697035,0.0003601569975574251,0.01438537725054,6.688676345122678e-05,50.622083403687874,16.437902091,2001,310.727984,True
case_0040,A,3.4314355981076328,2176443.37330929,0.168101471542866,0.36421198654565,5.524737025470775e-05,0.012942789518324999,1.0949140344776248e-05,28.140145988620294,16.146931667,2001,355.139437,True
case_0041,A,5.0908265885966655,2419715.2265859377,0.1208287375091519,0.5500255922351499,7.317087421155604e-05,0.012242680979860001,1.61829163841218e-05,44.9268908615668,16.232192743,2001,311.872996,True
case_0042,A,7.384922341049418,1983211.3190003613,0.1247068573438476,0.78443436241635,6.96393194741085e-05,0.014806787210865001,2.1231203924892577e-05,52.97802630949837,16.541852337,2001,310.070655,True
case_0043,A,2.8310982321715663,2711870.6523238737,0.135755551138543,0.30822608686135,0.00024673007158145953,0.011289897707175003,1.5595654305262595e-05,27.301052219938615,15.981560131,2001,313.156167,True
case_0044,A,3.8633403756510423,1553740.80273328,0.1540902897700544,0.40918804899425,5.918504988583768e-05,0.013648603402330001,1.1298744808102482e-05,29.980213867478636,16.388284212,2001,265.115556,True
case_0045,A,4.281801476592249,2031097.1872880016,0.1100650515929852,0.46133790489055004,7.564705375341975e-05,0.012148399779945,1.2482155707487883e-05,37.97519947048028,16.1063748,2001,276.08682,True
case_0046,A,0.8456069984217036,1899017.5220566385,0.1449429097039125,0.09999216997682499,0.0035508618486549777,0.011690098333565,7.863540265345938e-05,8.553578175619288,15.99300106,2001,228.480209,True
case_0047,A,6.966350176910805,1578981.3583252176,0.103969909852162,0.7372771231907,0.00012479736102665153,0.015391571241744999,2.3896448148752946e-05,47.90135533343458,16.344953272,2001,337.55342,True
case_0048,A,7.122426930946056,2228839.8860660195,0.1066118528947223,0.7596982141148001,0.00020937751623507502,0.01438290154249,4.265761589985752e-05,52.81953796808647,16.317564987,2001,315.714127,True
